Date,Price,Open,High,Low,Vol.,Change %
10/06/2019,121.09,123.53,123.89,120.80,25.19M,-2.35%
09/29/2019,124.00,124.57,125.36,120.21,27.13M,-0.46%
09/22/2019,124.57,122.20,125.00,121.97,32.56M,1.91%
09/15/2019,122.24,121.81,122.60,119.01,42.01M,0.10%
09/08/2019,122.12,122.71,123.21,119.36,37.78M,-0.61%
09/01/2019,122.87,119.79,123.43,119.63,23.36M,2.20%
08/25/2019,120.23,117.75,122.00,117.21,28.28M,2.48%
08/18/2019,117.32,119.97,120.45,116.43,28.54M,-1.56%
08/11/2019,119.18,116.78,119.54,115.59,37.96M,2.06%
08/04/2019,116.78,116.09,118.04,112.68,46.33M,0.29%
07/28/2019,116.44,114.73,121.76,114.62,62.77M,1.49%
07/21/2019,114.73,115.04,116.05,111.38,35.22M,-0.24%
07/14/2019,115.01,115.07,116.52,114.79,34.12M,0.02%
07/07/2019,114.99,113.34,115.21,112.32,30.14M,1.63%
06/30/2019,113.15,109.92,114.27,109.61,28.28M,3.19%
06/23/2019,109.65,111.82,112.63,109.02,37.26M,-1.39%
06/16/2019,111.20,111.16,112.47,109.26,41.62M,0.00%
06/09/2019,111.20,108.32,111.75,107.46,35.58M,2.23%
06/02/2019,108.77,103.15,109.38,102.40,36.67M,5.69%
05/26/2019,102.91,106.70,107.25,102.40,29.76M,-3.54%
05/19/2019,106.69,107.44,108.13,105.89,27.23M,-0.71%
05/12/2019,107.45,105.14,108.68,104.85,35.77M,1.36%
05/05/2019,106.01,105.12,106.15,103.78,29.02M,-0.07%
04/28/2019,106.08,105.57,106.62,104.65,30.84M,0.21%
04/21/2019,105.86,106.13,107.20,102.13,48.96M,-0.18%
04/14/2019,106.05,104.98,106.71,104.79,27.80M,0.94%
04/07/2019,105.06,103.93,105.14,103.50,31.47M,1.36%
03/31/2019,103.65,104.23,104.23,102.75,27.01M,-0.38%
03/24/2019,104.05,101.66,104.15,101.26,34.23M,2.35%
03/17/2019,101.66,102.06,103.15,99.09,42.55M,-0.76%
03/10/2019,102.44,98.79,102.89,98.51,64.42M,4.10%
03/03/2019,98.41,98.57,99.68,97.75,31.35M,-0.03%
02/24/2019,98.44,100.36,100.45,97.83,38.87M,-1.81%
02/17/2019,100.25,98.56,100.40,98.47,34.42M,1.80%
02/10/2019,98.48,97.49,99.70,97.43,51.32M,0.79%
02/03/2019,97.71,97.21,98.32,96.34,46.57M,0.25%
01/27/2019,97.47,93.32,97.61,92.97,56.05M,4.13%
01/20/2019,93.60,91.39,96.41,89.08,59.15M,2.38%
01/13/2019,91.42,91.50,92.61,90.35,40.90M,-0.38%
01/06/2019,91.77,91.91,93.09,90.61,51.85M,-0.78%
12/30/2018,92.49,91.63,92.50,89.93,37.47M,1.44%
12/23/2018,91.18,90.45,93.28,86.74,37.00M,0.23%
12/16/2018,90.97,96.00,96.50,90.13,73.97M,-5.87%
12/09/2018,96.64,93.25,96.89,91.37,58.89M,4.53%
12/02/2018,92.45,94.67,94.86,91.08,47.25M,-2.18%
11/25/2018,94.51,91.15,94.65,91.15,47.71M,3.24%
11/18/2018,91.54,93.72,94.18,90.63,34.84M,-2.43%
11/11/2018,93.82,92.21,94.81,91.59,63.10M,1.53%
11/04/2018,92.41,89.89,92.67,89.82,47.48M,2.90%
10/28/2018,89.81,88.29,89.95,87.27,61.15M,2.22%
10/21/2018,87.86,86.73,90.70,85.23,86.08M,0.64%
10/14/2018,87.30,79.01,87.76,78.92,69.68M,10.42%
10/07/2018,79.06,81.98,82.74,78.49,45.20M,-3.76%
09/30/2018,82.15,83.31,84.52,81.10,32.73M,-1.30%
09/23/2018,83.23,85.63,85.71,82.79,30.03M,-3.02%
09/16/2018,85.82,83.50,86.28,83.34,46.74M,2.64%
09/09/2018,83.61,82.58,83.67,81.63,28.25M,2.08%
09/02/2018,81.91,82.48,83.47,81.25,32.10M,-1.25%
08/26/2018,82.95,83.50,83.86,82.39,25.09M,-0.49%
08/19/2018,83.36,83.89,84.00,82.84,30.14M,-0.39%
08/12/2018,83.69,81.70,84.20,80.81,40.83M,2.78%
08/05/2018,81.43,82.20,82.93,81.00,27.71M,-1.09%
07/29/2018,82.33,80.07,83.10,79.43,40.89M,2.17%
07/22/2018,80.58,78.49,80.83,77.54,37.64M,2.41%
07/15/2018,78.68,79.21,80.50,77.89,41.27M,-0.79%
07/08/2018,79.31,78.46,79.94,77.78,44.30M,0.00%
